"Asian and Middle Eastern Studies",,,,
"Medical and Veterinary Sciences Tripos",,"Medical and Veterinary Sciences Tripos IA, IB and II",,"http://www.bio.cam.ac.uk/sbs/facbiol/mvst/lecture_list.html"
,,,,
"Human, Social & Political Sciences",,,,
,,"Archaeology and Anthropology Part I (Archaeology)",,"http://www-teaching.arch.cam.ac.uk/courses/?course=63&year=1112"
,,"Archaeology and Anthropology Part I (Biological Anthropology)",,"http://www.bioanth.cam.ac.uk/undergraduates.html"
,,"Archaeology and Anthropology Part I (Social Anthropology)",,"http://www.socanth.cam.ac.uk/courses/full-lecture-list/"
,,"Archaeology and Anthropology Part IIA (Archaeology)",,"http://www-teaching.arch.cam.ac.uk/courses/?course=63&year=1112"
,,"Archaeology and Anthropology Part IIA (Biological Anthropology)",,"http://www.bioanth.cam.ac.uk/undergraduates.html"
,,"Archaeology and Anthropology Part IIA (Social Anthropology)",,"http://www.socanth.cam.ac.uk/courses/full-lecture-list/"
,,"Archaeology and Anthropology Part IIB (Archaeology)",,"http://www-teaching.arch.cam.ac.uk/courses/?course=63&year=1112"
,,"Archaeology and Anthropology Part IIB (Biological Anthropology)",,"http://www.bioanth.cam.ac.uk/undergraduates.html"
,,"Archaeology and Anthropology Part IIB (Social Anthropology)",,"http://www.socanth.cam.ac.uk/courses/full-lecture-list/"
,,"Politics, Psychology and Sociology Tripos Part I",,"http://www.hsps.cam.ac.uk/pps/current/undergraduate/pdf/ug_lecture_list_2011-2012.pdf"
,,"Politics, Psychology and Sociology Tripos Part IIA",,"http://www.hsps.cam.ac.uk/pps/current/undergraduate/pdf/ug_lecture_list_2011-2012.pdf"
,,"Politics, Psychology and Sociology Tripos Part IIB",,"http://www.hsps.cam.ac.uk/pps/current/undergraduate/pdf/ug_lecture_list_2011-2012.pdf"
,,"MPhil in International Relations Option A",,"http://www.polis.cam.ac.uk/courses/graduates/mphilir.html"
,,"MPhil in International Relations Option B",,"http://www.polis.cam.ac.uk/courses/graduates/mphilir.html"
,,"MPhil in Latin American Studies",,
,,"MPhil in Modern Society and Global Transformations",,"http://www.hsps.cam.ac.uk/pps/current/postgraduate/pdf/pg_lecture_list_2011-2012.pdf"
,,"MPhil in Politics",,"http://www.polis.cam.ac.uk/courses/graduates/mphilpol.html"
,,"MPhil in Social and Developmental Psychology",,"http://www.hsps.cam.ac.uk/pps/current/postgraduate/pdf/pg_lecture_list_2011-2012.pdf"
,,"MSt in International Relations (PT)",,
,,"MPhil in Archaeological Research",,"http://www-teaching.arch.cam.ac.uk/courses/?course=63&year=1112"
,,"MPhil in Archaeology",,"http://www-teaching.arch.cam.ac.uk/courses/?course=63&year=1112"
,,"MPhil in Assyriology",,"http://www-teaching.arch.cam.ac.uk/courses/?course=63&year=1112"
,,"MPhil in Egyptology",,"http://www-teaching.arch.cam.ac.uk/courses/?course=63&year=1112"
,,"MPhil in Social Anthropology",,"http://www.socanth.cam.ac.uk/courses/full-lecture-list/"
,,"MRes in Social Anthropology",,"http://www.socanth.cam.ac.uk/courses/full-lecture-list/"
